adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[35],1135700,hi,Hello Hello Whats-Up,"After the patriarch of the Sharma family passes away, many extended family members gather. Amidst the mourning, Suman begins to receive messages from his late father. What is the mystery behind this paranormal phenomenon?",0.755,/1qWefZmDmQy70D1K6Sw4O0Mv2Ie.jpg,2023-06-02,Hello Hello Whats-Up,False,4.0,2
False,,[14],1117468,hi,Alibaba,"Alibaba and his son live with his rich brother Cassim. Marjina and Zabba are two slave girls who work in Cassim's house. Marjina and Alibaba's son are in love with each other. Zabba is in league with Abu Hassan, who is the leader of a gang of thieves. Alibaba finds the thieves' cave and becomes rich. Cassim's wife insists on knowing the secret of his wealth. Alibaba tells his brother who goes to the cave but can't get out as he's forgotten the magic words. The thieves find him and kill him. Alibaba and his son find Cassim and bring his body back for burial. Abu Hassan finds out about Alibaba, and the story then follows Marjina outsmarting Abu Hassan, who comes visiting as a merchant.",0.6,/8G60vnN964Xj7dkpWfxmlsYrRa6.jpg,1940-11-22,Alibaba,False,0.0,0
False,/3eCxl1dISMRIn0T67rBAsK5pVZa.jpg,"[18, 10751, 10749]",1102422,hi,Hare Kanch Ki Chooriyan,"Kishanlal, a professor, lives a peaceful life with his daughter, Mohini, and a bed-ridden wife. However, when Mohini gets pregnant, he tries to find the baby's father.",0.6,/cDNMR6Q7diatZ1qvpQ7OHEZu8tT.jpg,1967-01-01,Hare Kanch Ki Chooriyan,False,0.0,0
False,,[],1095229,hi,Hoshiyar,"Sitadevi's life turns upside down when her husband dies in an accident. To add to her sorrow, one of her sons is separated from her and grows up to be a criminal.",0.906,/52pUyGitI2QkksiVbubr6PCv8e9.jpg,1985-01-18,Hoshiyar,False,4.0,1
False,,[28],1094262,hi,बैंडिट शकुन्तला,"Shakuntala grows up in poverty, part of the lowest cast in Indian society. At a young age she decides to improve her position and make a better life for herself through studying hard. But at the age of 12 she is brutally raped by the Chief of her village, humiliated and dishonored she is unable to get justice. Forced into an arranged marriage with a drunkard, the marriage doesn't last. But tragedy strikes again as she is gang raped again by the Chief together with a mob of villagers. When rescued by Nadeem, an outlaw bandit, she is taught the skills on how to avenge herself. Gun in hand she seeks revenge for everything she and other women like her, have had to endure. Her name instills dread and fear, but this is just the start of her journey for justice and retribution.",0.677,/z0gMFR6VvzNuRm3CKCQzOQEhLZE.jpg,2023-02-27,Bandit Shakuntala,False,0.0,0
False,,[28],1090814,hi,Ek Zakhm,A.C.P. Pujari gets involved in a murder investigation,1.4,/q6LnuSuMvhOAydGJZOYE6MECJXG.jpg,2007-01-01,Ek Zakhm,False,0.0,0
False,,[27],1083763,hi,गुलाब,"The film delves into the life of a young couple. On their anniversary celebration, a text SMS changes the life of the male protagonist.",0.6,/rptWekZKKMUMmMT0AdduqIEB5cz.jpg,,Gulab,False,0.0,0
False,,[27],1065320,hi,The Underbug,"As India is ravaged by sectarian violence on the eve of its Independence Day, two rioters take refuge in an abandoned house. An eerie presence in the house, however, haunts the men to the edge of sanity.",1.172,/gkZB59S0d995yubUpew9YTsdXfl.jpg,2023-01-20,The Underbug,False,0.0,0
False,,[99],1063593,hi,No Stranger at All,"Through a collection of incomplete fictions, this film portrays Delhi, India, in times of lockdown and unrest. Priya Sen constructs a kaleidoscope of resilient voices that keep the language of hatred at bay and absorb the city’s grief and euphoria.",1.172,/ckCSednEgO1jvcpLaxJrAswILbk.jpg,2023-01-21,No Stranger at All,False,0.0,0
False,,[53],1061043,hi,Raakh,"Shattered by his wife's murder, a man sets about to get his revenge from the man who raped and killed her.",0.6,,2016-11-07,Raakh,False,0.0,0
